Designator,Mid X,Mid Y,Layer,Rotation
4.7K,43.18,35.56,Top,0
ADC,80.01,72.39,Top,90
AP2171WG-7,39.37,97.79,Top,0
AP2171_SD_SWITCH,82.55,93.98,Top,0
C1,63.5,44.45,Top,180
C3,35.56,97.79,Top,90
C4,38.1,105.2,Top,270
C5,34.29,104.21,Top,90
C6,77.47,95.25,Top,180
C7,77.47,90.46,Top,270
GND_TP,44.45,45.72,Top,0
I2C_DATA,76.2,55.88,Top,90
I2C_LED,76.2,64.77,Top,270
JP2,38.13,80.82,Top,90
JP3,38.35,85.14,Top,0
MODE,71.12,33.31,Top,0
R1,38.1,71.12,Top,0
R2,39.37,90.17,Top,0
R3,76.2,61.04,Top,90
R4,69.02,42.46,Top,0
R5,83.82,79.15,Top,270
R6,82.55,66.04,Top,90
R7,81.28,78.74,Top,90
R8,80.01,66.04,Top,270
R9,38.1,87.63,Top,180
R10,34.29,62.23,Top,0
R11,33.02,87.63,Top,0
R12,33.02,77.47,Top,270
R13,76.25,42.47,Top,0
R14,72.63,42.48,Top,0
SCL_PUP,76.2,80.01,Top,90
SDA_PUP,78.74,80.01,Top,90
SD_SWITCH,34.64,81.28,Top,180
SENSOR_SWITCH,34.5,85.09,Top,180
U$2,57.15,72.39,Top,0
U.FL_TP,49.53,45.72,Top,0
U1,34.29,93.98,Top,0
UFL,46.99,43.18,Top,0
J3,58.5,98.91,Bottom,0
